bowler,venue,batting_team,dream 11 score,Matches_Played,avg_drm11_score,Economy,strike_rate,bowlerOppositionWiseMatches_Played,bowlerOppositionWiseavg_drm11_score,bowlerOppositionWiseEconomy,bowlerOppositionWisestrike_rate,bowlerVenueMatches_Played,bowlerVenueavg_drm11_score,bowlerVenueEconomy,bowlerVenuestrike_rate,Venue_Matches_Played,Venue_Avg_Batsmen_Strike_Rate,Venue_Avg_Batsmen_Average,Venue_Avg_Bowler_Economy,Venue_Avg_Bowler_Average,Venue_dream11
AL Menaria,Sawai Mansingh Stadium,Royal Challengers Bangalore,24,12,24.416666666666668,7.433628318584071,37.66666666666666,1,24.0,8.0,13.0,6,30.33333333333333,7.542857142857143,35.0,52,121.97605278162418,1.2197605278162418,7.318563166897451,1.2197605278162418,288.86538461538464
CH Gayle,Sawai Mansingh Stadium,Rajasthan Royals,65,38,43.6578947368421,6.986301369863014,30.73684210526316,3,43.66666666666666,6.113207547169812,53.0,1,65.0,5.1,20.0,52,121.97605278162418,1.2197605278162418,7.318563166897451,1.2197605278162418,288.86538461538464
CK Langeveldt,Sawai Mansingh Stadium,Rajasthan Royals,75,7,96.42857142857144,6.472727272727273,12.692307692307692,2,109.0,4.68,12.5,1,75.0,6.0,25.0,52,121.97605278162418,1.2197605278162418,7.318563166897451,1.2197605278162418,288.86538461538464
J Botha,Sawai Mansingh Stadium,Royal Challengers Bangalore,48,34,61.14705882352941,6.609308885754584,26.25925925925926,2,60.5,9.0,48.0,12,63.083333333333336,6.828358208955224,29.77777777777778,52,121.97605278162418,1.2197605278162418,7.318563166897451,1.2197605278162418,288.86538461538464
LRPL Taylor,Sawai Mansingh Stadium,Royal Challengers Bangalore,12,2,13.0,10.615384615384617,15.0,1,12.0,11.0,7.0,1,12.0,11.0,7.0,52,121.97605278162418,1.2197605278162418,7.318563166897451,1.2197605278162418,288.86538461538464
Pankaj Singh,Sawai Mansingh Stadium,Royal Challengers Bangalore,24,17,52.52941176470589,8.739549839228296,28.272727272727277,3,70.33333333333333,7.3,20.0,8,48.375,9.492537313432836,26.8,52,121.97605278162418,1.2197605278162418,7.318563166897451,1.2197605278162418,288.86538461538464
S Aravind,Sawai Mansingh Stadium,Rajasthan Royals,123,38,74.21052631578948,7.66751269035533,16.416666666666668,3,94.66666666666669,9.044776119402986,11.166666666666666,1,123.0,8.5,8.0,52,121.97605278162418,1.2197605278162418,7.318563166897451,1.2197605278162418,288.86538461538464
SK Trivedi,Sawai Mansingh Stadium,Royal Challengers Bangalore,24,75,66.86666666666666,7.090558766859345,21.328767123287676,8,69.375,7.301204819277109,18.444444444444443,32,77.03125,6.815028901734104,16.878048780487806,52,121.97605278162418,1.2197605278162418,7.318563166897451,1.2197605278162418,288.86538461538464
SK Warne,Sawai Mansingh Stadium,Royal Challengers Bangalore,73,54,74.37037037037037,6.9076042518397385,20.383333333333333,7,81.85714285714286,5.884615384615385,17.333333333333332,17,77.82352941176471,6.89002557544757,18.61904761904762,52,121.97605278162418,1.2197605278162418,7.318563166897451,1.2197605278162418,288.86538461538464
SR Watson,Sawai Mansingh Stadium,Royal Challengers Bangalore,28,105,68.08571428571429,7.218530650444548,19.97196261682243,12,67.83333333333333,5.871244635193133,19.416666666666668,26,66.3076923076923,6.431734317343174,24.63636363636364,52,121.97605278162418,1.2197605278162418,7.318563166897451,1.2197605278162418,288.86538461538464
V Kohli,Sawai Mansingh Stadium,Rajasthan Royals,36,26,24.807692307692307,8.045454545454545,52.8,3,34.333333333333336,5.833333333333333,36.0,2,31.0,6.0,33.0,52,121.97605278162418,1.2197605278162418,7.318563166897451,1.2197605278162418,288.86538461538464
Z Khan,Sawai Mansingh Stadium,Rajasthan Royals,50,99,78.35353535353535,7.09402460456942,19.126050420168067,8,79.375,6.12,28.571428571428573,4,79.5,6.72,25.0,52,121.97605278162418,1.2197605278162418,7.318563166897451,1.2197605278162418,288.86538461538464
AB Agarkar,MA Chidambaram Stadium,Chennai Super Kings,67,42,59.595238095238095,8.136585365853659,24.848484848484848,6,48.333333333333336,7.853658536585366,61.5,3,51.333333333333336,8.836363636363636,27.5,76,121.56133828996283,1.2156133828996285,7.29368029739777,1.2156133828996285,296.75
AB McDonald,MA Chidambaram Stadium,Chennai Super Kings,24,10,72.2,8.26595744680851,13.428571428571429,1,24.0,11.5,13.0,1,24.0,11.5,13.0,76,121.56133828996283,1.2156133828996285,7.29368029739777,1.2156133828996285,296.75
DE Bollinger,MA Chidambaram Stadium,Delhi Daredevils,73,27,87.88888888888889,6.63,13.953488372093023,3,65.0,7.672131147540983,20.33333333333333,14,93.5,6.836363636363636,13.2,76,121.56133828996283,1.2156133828996285,7.29368029739777,1.2156133828996285,296.75
DJ Bravo,MA Chidambaram Stadium,Delhi Daredevils,90,158,75.67721518987342,7.605582524271845,15.92270531400966,14,57.57142857142857,7.704,20.83333333333333,37,78.5945945945946,7.563275434243176,16.12,76,121.56133828996283,1.2156133828996285,7.29368029739777,1.2156133828996285,296.75
IK Pathan,MA Chidambaram Stadium,Chennai Super Kings,98,101,68.76237623762377,7.2948414576431615,21.343434343434343,13,72.3076923076923,8.283737024221454,20.642857142857142,5,62.8,7.529411764705882,25.5,76,121.56133828996283,1.2156133828996285,7.29368029739777,1.2156133828996285,296.75
JA Morkel,MA Chidambaram Stadium,Delhi Daredevils,55,87,69.95402298850574,7.490868843386829,18.822916666666668,13,64.61538461538461,7.660516605166052,22.58333333333333,29,80.17241379310344,7.367316341829086,17.102564102564102,76,121.56133828996283,1.2156133828996285,7.29368029739777,1.2156133828996285,296.75
JR Hopes,MA Chidambaram Stadium,Chennai Super Kings,24,20,54.5,8.764227642276422,26.357142857142858,4,41.25,9.972972972972974,74.0,2,38.0,7.894736842105263,40.0,76,121.56133828996283,1.2156133828996285,7.29368029739777,1.2156133828996285,296.75
R Ashwin,MA Chidambaram Stadium,Delhi Daredevils,114,194,70.53092783505154,6.562197092084007,22.925925925925927,16,89.3125,5.448818897637795,16.565217391304348,40,84.875,5.705329153605016,18.056603773584907,76,121.56133828996283,1.2156133828996285,7.29368029739777,1.2156133828996285,296.75
S Nadeem,MA Chidambaram Stadium,Chennai Super Kings,48,70,61.0,7.28393351800554,26.74074074074074,8,48.75,6.736196319018405,81.5,2,60.5,7.75,48.0,76,121.56133828996283,1.2156133828996285,7.29368029739777,1.2156133828996285,296.75
SB Jakati,MA Chidambaram Stadium,Delhi Daredevils,26,57,60.3859649122807,7.7493188010899186,22.02,6,68.5,7.2,16.428571428571427,23,59.21739130434783,7.183098591549296,21.3,76,121.56133828996283,1.2156133828996285,7.29368029739777,1.2156133828996285,296.75
SK Raina,MA Chidambaram Stadium,Delhi Daredevils,56,69,37.971014492753625,7.070967741935484,31.0,8,26.5,7.26605504587156,117.0,19,36.42105263157895,6.839506172839506,30.375,76,121.56133828996283,1.2156133828996285,7.29368029739777,1.2156133828996285,296.75
VR Aaron,MA Chidambaram Stadium,Chennai Super Kings,81,50,66.88,7.892957746478873,23.15217391304348,4,76.25,9.0,18.0,3,72.33333333333333,9.04225352112676,23.666666666666668,76,121.56133828996283,1.2156133828996285,7.29368029739777,1.2156133828996285,296.75
