iter	Passed	Remaining
880	3523	475
881	3526	471
882	3528	467
883	3531	463
884	3534	459
885	3538	455
886	3541	451
887	3545	447
888	3547	442
889	3552	439
890	3555	434
891	3558	430
892	3561	426
893	3564	422
894	3568	418
895	3572	414
896	3575	410
897	3578	406
898	3582	402
899	3585	398
900	3588	394
901	3591	390
902	3594	386
903	3596	381
904	3600	377
905	3603	373
906	3606	369
907	3609	365
908	3612	361
909	3615	357
910	3618	353
911	3621	349
912	3623	345
913	3626	341
914	3629	337
915	3632	333
916	3634	329
917	3637	324
918	3640	320
919	3642	316
920	3646	312
921	3649	308
922	3652	304
923	3655	300
924	3657	296
925	3660	292
926	3664	288
927	3666	284
928	3669	280
929	3672	276
930	3674	272
931	3678	268
932	3681	264
933	3683	260
934	3686	256
935	3689	252
936	3692	248
937	3695	244
938	3698	240
939	3701	236
940	3704	232
941	3706	228
942	3710	224
943	3713	220
944	3716	216
945	3719	212
946	3721	208
947	3725	204
948	3728	200
949	3730	196
950	3733	192
951	3736	188
952	3739	184
953	3742	180
954	3745	176
955	3747	172
956	3750	168
957	3753	164
958	3756	160
959	3759	156
960	3762	152
961	3765	148
962	3767	144
963	3770	140
964	3773	136
965	3776	132
966	3779	128
967	3781	125
968	3784	121
969	3787	117
970	3790	113
971	3793	109
972	3796	105
973	3799	101
974	3802	97
975	3805	93
976	3808	89
977	3811	85
978	3813	81
979	3816	77
980	3820	73
981	3823	70
982	3826	66
983	3828	62
984	3831	58
985	3834	54
986	3838	50
987	3840	46
988	3843	42
989	3846	38
990	3849	34
991	3852	31
992	3855	27
993	3858	23
994	3860	19
995	3863	15
996	3866	11
997	3869	7
998	3872	3
999	3874	0
