iter	Passed	Remaining
313	3062	6691
314	3070	6677
315	3079	6666
316	3087	6652
317	3096	6641
318	3104	6628
319	3114	6618
320	3122	6605
321	3133	6598
322	3143	6588
323	3151	6574
324	3160	6563
325	3168	6551
326	3178	6541
327	3186	6527
328	3195	6517
329	3203	6504
330	3212	6493
331	3220	6479
332	3229	6468
333	3238	6456
334	3248	6447
335	3257	6436
336	3264	6423
337	3274	6414
338	3282	6400
339	3292	6391
340	3300	6378
341	3309	6367
342	3317	6354
343	3326	6343
344	3335	6332
345	3344	6321
346	3354	6312
347	3362	6299
348	3372	6289
349	3380	6277
350	3389	6267
351	3397	6255
352	3407	6245
353	3416	6234
354	3424	6222
355	3434	6212
356	3442	6199
357	3451	6190
358	3459	6176
359	3469	6167
360	3477	6154
361	3486	6144
362	3494	6132
363	3503	6121
364	3511	6109
365	3521	6099
366	3529	6087
367	3537	6075
368	3546	6065
369	3555	6053
370	3565	6044
371	3572	6031
372	3582	6021
373	3589	6008
374	3599	5999
375	3607	5987
376	3617	5977
377	3625	5965
378	3633	5953
379	3642	5942
380	3652	5933
381	3661	5923
382	3669	5911
383	3678	5901
384	3686	5888
385	3695	5878
386	3703	5866
387	3713	5857
388	3721	5845
389	3730	5835
390	3739	5824
391	3747	5813
392	3757	5803
393	3765	5791
394	3775	5783
395	3783	5770
396	3793	5761
397	3801	5749
398	3810	5739
399	3818	5727
400	3828	5718
401	3836	5706
402	3844	5695
403	3853	5685
404	3861	5673
405	3871	5663
406	3879	5651
407	3888	5642
408	3896	5630
