bowler,venue,batting_team,dream 11 score,Matches_Played,avg_drm11_score,Economy,strike_rate,bowlerOppositionWiseMatches_Played,bowlerOppositionWiseavg_drm11_score,bowlerOppositionWiseEconomy,bowlerOppositionWisestrike_rate,bowlerVenueMatches_Played,bowlerVenueavg_drm11_score,bowlerVenueEconomy,bowlerVenuestrike_rate,Venue_Matches_Played,Venue_Avg_Batsmen_Strike_Rate,Venue_Avg_Batsmen_Average,Venue_Avg_Bowler_Economy,Venue_Avg_Bowler_Average,Venue_dream11
SM Harwood,De Beers Diamond Oval,Chennai Super Kings,0,3,27.0,5.462686567164179,22.33333333333333,1,0.0,9.692307692307692,14.0,1,0.0,9.692307692307692,14.0,3.0,118.1818181818182,22.0,7.090909090909091,22.0,260.6666666666667
YK Pathan,De Beers Diamond Oval,Chennai Super Kings,0,82,17.24390243902439,6.952702702702703,25.73913043478261,15,20.466666666666665,7.117408906882591,22.454545454545453,2,43.5,7.469387755102041,16.333333333333332,3.0,118.1818181818182,22.0,7.090909090909091,22.0,260.6666666666667
A Kumble,St George's Park,Mumbai Indians,0,42,36.69047619047619,6.268565615462869,20.06122448979592,6,16.166666666666668,7.866666666666666,45.0,3,0.0,6.164383561643835,76.0,7.0,113.536076326774,24.727272727272727,6.81216457960644,24.727272727272727,263.85714285714283
A Mithun,St George's Park,Mumbai Indians,0,16,13.5,8.615384615384615,39.0,3,-2.0,9.827586206896552,61.0,1,0.0,8.666666666666666,28.0,7.0,113.536076326774,24.727272727272727,6.81216457960644,24.727272727272727,263.85714285714283
C Nanda,St George's Park,Royal Challengers Bangalore,25,3,18.666666666666668,6.6,25.0,1,25.0,8.0,24.0,2,12.5,6.954545454545454,44.0,7.0,113.536076326774,24.727272727272727,6.81216457960644,24.727272727272727,263.85714285714283
DJ Bravo,St George's Park,Royal Challengers Bangalore,25,158,36.77848101265823,7.605582524271845,15.92270531400966,23,29.47826086956522,7.747826086956522,19.166666666666668,3,40.0,6.84375,16.0,7.0,113.536076326774,24.727272727272727,6.81216457960644,24.727272727272727,263.85714285714283
DS Kulkarni,St George's Park,Royal Challengers Bangalore,25,92,29.27173913043478,7.560767590618337,20.615384615384617,13,35.15384615384615,7.085106382978723,18.8,2,25.0,7.836734693877551,24.5,7.0,113.536076326774,24.727272727272727,6.81216457960644,24.727272727272727,263.85714285714283
Harbhajan Singh,St George's Park,Royal Challengers Bangalore,101,160,30.71875,6.741418764302059,21.714285714285715,23,34.65217391304348,6.885826771653544,20.32,3,33.666666666666664,5.357142857142857,18.666666666666668,7.0,113.536076326774,24.727272727272727,6.81216457960644,24.727272727272727,263.85714285714283
JH Kallis,St George's Park,Mumbai Indians,0,89,24.831460674157302,7.410783768760423,24.31081081081081,11,20.0,7.807531380753138,29.875,3,-2.0,9.11111111111111,57.0,7.0,113.536076326774,24.727272727272727,6.81216457960644,24.727272727272727,263.85714285714283
KP Appanna,St George's Park,Mumbai Indians,0,13,24.23076923076923,7.513513513513513,20.181818181818183,2,-3.0,10.666666666666666,20.0,2,16.5,6.166666666666667,36.0,7.0,113.536076326774,24.727272727272727,6.81216457960644,24.727272727272727,263.85714285714283
R Vinay Kumar,St George's Park,Mumbai Indians,25,104,33.93269230769231,8.02836230558097,17.212598425196852,13,34.38461538461539,8.273684210526316,19.0,3,6.333333333333333,8.117647058823529,51.0,7.0,113.536076326774,24.727272727272727,6.81216457960644,24.727272727272727,263.85714285714283
RE van der Merwe,St George's Park,Mumbai Indians,33,21,36.71428571428572,6.408791208791209,18.2,4,22.25,6.785714285714286,28.0,1,33.0,5.666666666666667,18.0,7.0,113.536076326774,24.727272727272727,6.81216457960644,24.727272727272727,263.85714285714283
SL Malinga,St George's Park,Royal Challengers Bangalore,33,122,49.377049180327866,6.443846671149967,15.819148936170214,16,29.5625,6.951406649616368,26.066666666666663,3,65.66666666666667,4.971428571428572,14.0,7.0,113.536076326774,24.727272727272727,6.81216457960644,24.727272727272727,263.85714285714283
A Mishra,New Wanderers Stadium,Kolkata Knight Riders,93,161,34.285714285714285,7.071678321678322,18.857142857142858,20,33.3,6.5011600928074245,21.55,2,46.5,5.162790697674419,14.333333333333334,8.0,112.57731958762886,23.73913043478261,6.754639175257732,23.73913043478261,260.375
A Nehra,New Wanderers Stadium,Kolkata Knight Riders,70,88,40.60227272727273,7.361702127659575,16.31404958677686,10,26.0,7.098214285714286,28.0,3,62.66666666666666,5.6103896103896105,12.833333333333334,8.0,112.57731958762886,23.73913043478261,6.754639175257732,23.73913043478261,260.375
AB Agarkar,New Wanderers Stadium,Delhi Daredevils,0,42,22.214285714285715,8.136585365853659,24.848484848484848,4,14.5,8.08,37.5,2,12.5,8.093023255813954,43.0,8.0,112.57731958762886,23.73913043478261,6.754639175257732,23.73913043478261,260.375
